"","ccode","year","ID","Nu_means","Nu_lower_80","Nu_upper_80","Nu_lower_95","Nu_upper_95","ura_i","metal_i","chemi_i","nitric_i","elect_i","nuke_i","explo_i","Non_HWR","HWR","test","reprocess","enrichment","submarines","explore","pursue","possession","Nu_infrastructure","Infrastructure_lower80","Infrastructure_upper80","Infrastructure_lower95","Infrastructure_upper95"
"734",2,1968,21968,2.338288083,2.046021681,2.71445093,1.972691158,3.000870293,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37388809654428,2.05692513757392,2.75026100409567,1.91914014253288,3.02555847677156
"735",2,1969,21969,2.32867346,2.042701753,2.690201217,1.973497923,2.985531593,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.36669937377603,2.06362369333926,2.73923747443162,1.93528137403153,3.0017842925502
"736",2,1970,21970,2.344047435,2.051257422,2.718548752,1.973985116,3.022619873,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37353457838702,2.05581436327679,2.76585241415496,1.9164983101354,3.02934627998765
"737",2,1971,21971,2.338560882,2.04600831,2.720268882,1.975837211,3.002057592,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37078828708598,2.05670988668085,2.75096107163987,1.92694964320685,3.03826107755719
"738",2,1972,21972,2.332679234,2.04820969,2.703664931,1.976985426,2.995889921,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37406834403406,2.05671615635767,2.76073162906469,1.91837372263324,3.07772459334054
"739",2,1973,21973,2.333605379,2.05030602,2.704555883,1.97542738,3.012223138,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37846677401379,2.06440483706885,2.76284222718118,1.92967239841612,3.06465007661059
"740",2,1974,21974,2.331303582,2.049668537,2.712178464,1.970462754,3.009260701,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37354923872603,2.0604875980381,2.74182995629861,1.91504760777396,3.03421967698535
"741",2,1975,21975,2.334421651,2.045766101,2.712187677,1.976496914,2.989037272,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37466219251368,2.06255824141104,2.75029084610962,1.93627770521072,3.03017553658228
"742",2,1976,21976,2.344042701,2.046382036,2.721105111,1.974545567,3.024392864,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37907898437276,2.06438601886546,2.75871869752932,1.92102533235463,3.08768519055738
"743",2,1977,21977,2.342588427,2.04933932,2.710782676,1.970832994,3.018579735,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.37768033166764,2.06681926284127,2.76079164814387,1.9376823856526,3.03485804060209
